config,run_id,hb_interval_ms,hb_timeout_ms,repl_mode,fault_type,detection_latency_ms,downtime_ms,write_latency_median_us,write_latency_p95_us,write_latency_p99_us,throughput_ops_sec,total_ops,success_ops,failed_ops,false_positives,repl_skipped_count
zipf_fast_async,zipf_fast_async_t3_1776219471893,50,150,async,crash,96,1,130.0,239.0,378.0100000000002,6.414102473304639,4800,4800,0,1,1363
zipf_fast_async,zipf_fast_async_t4_1776219482147,50,150,async,crash,108,3,133.0,234.05000000000018,403.0,6.414428187135597,4800,4800,0,1,1382
zipf_fast_async,zipf_fast_async_t5_1776219492462,50,150,async,crash,141,0,132.0,229.0,343.0100000000002,6.414333898151068,4800,4800,0,1,1353
zipf_fast_sync,zipf_fast_sync_t1_1776219399867,50,150,sync,crash,111,0,148.0,408.0,782.0400000000009,3.66878046170583,7200,7200,0,2,2039
zipf_fast_sync,zipf_fast_sync_t2_1776219410114,50,150,sync,crash,94,2,135.0,372.0,522.0200000000004,6.414556767491026,4800,4800,0,1,1320
zipf_fast_sync,zipf_fast_sync_t3_1776219420354,50,150,sync,crash,144,3,132.0,357.0,519.0,6.415920036249948,4800,4800,0,1,1322
zipf_fast_sync,zipf_fast_sync_t4_1776219430665,50,150,sync,crash,134,0,137.0,372.0500000000002,578.0200000000004,6.4147967979472655,4800,4800,0,1,1306
zipf_fast_sync,zipf_fast_sync_t5_1776219440979,50,150,sync,crash,135,6,137.0,364.0,517.0100000000002,6.41437675643676,4800,4800,0,1,1339
zipf_phi_async,zipf_phi_async_t1_1776219553984,50,150,async,crash,54,4,121.0,228.0,423.0400000000009,9.62056234859306,7200,7200,0,2,2191
zipf_phi_async,zipf_phi_async_t2_1776219564256,50,150,async,crash,54,2,128.5,256.0,346.0,8.111282440026185,5960,5960,0,2,1442
zipf_phi_async,zipf_phi_async_t3_1776219365791,50,150,async,crash,37,0,142.0,270.0,392.02000000000044,9.06202388976048,4800,4800,0,1,1400
zipf_phi_async,zipf_phi_async_t4_1776219376033,50,150,async,crash,70,1,133.0,248.0,376.14000000000306,9.06098039807907,4800,4800,0,1,1376
zipf_phi_async,zipf_phi_async_t5_1776219386275,50,150,async,crash,78,0,131.0,243.0,370.0100000000002,9.05981744467849,4800,4800,0,1,1375
zipf_phi_sync,zipf_phi_sync_t1_1776219502792,50,150,sync,crash,62,8,128.0,382.0,560.0,9.621230849407693,7200,7200,0,2,2020
zipf_phi_sync,zipf_phi_sync_t2_1776219513069,50,150,sync,crash,82,0,145.0,382.0499999999993,574.0400000000009,9.62063947856134,7200,7200,0,2,2034
zipf_phi_sync,zipf_phi_sync_t3_1776219523344,50,150,sync,crash,44,0,142.0,399.0499999999993,567.0200000000004,9.619765411331818,7200,7200,0,2,2024
zipf_phi_sync,zipf_phi_sync_t4_1776219533537,50,150,sync,crash,43,0,139.0,405.0,586.0200000000004,9.619521215052414,7200,7200,0,2,2063
zipf_phi_sync,zipf_phi_sync_t5_1776219543726,50,150,sync,crash,50,1,129.0,356.0,543.0,9.620189571180049,7200,7200,0,2,2091
